compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,10.0,,fiducial,fiducial
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,3.0,,reduced case M window,reduced case M window
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,2.0,,reduced Z threshold,reduced Z threshold
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,15.0,,relaxed Z threshold,relaxed Z threshold
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,7.0,,slow winds,slow winds
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,7.0,,slow winds,slow winds
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,25.0,,enhanced mass loss & slow winds,enhanced mass loss & slow winds
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,5.0,,reduced mass loss,reduced mass loss
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,10.0,,increased PISN threshold,increased PISN threshold
BH-BH,CHE,Mandel_2016,Mandel and de Mink (2016),"Mandel, Ilya",2016,5,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2634M/abstract,https://arxiv.org/pdf/1601.00007.pdf,,range,80.0,,enhanced metallicity spread,enhanced metallicity spread
BH-BH,CHE,Marchant_2016_MESA,Marchant et al. (2016),"Marchant, Pablo",2016,4,https://ui.adsabs.harvard.edu/abs/2016A%26A...588A..50M/abstract,https://arxiv.org/pdf/1601.03718.pdf,MESA,range,0.74306,,,
BH-BH,CHE,Marchant_2016_MESA,Marchant et al. (2016),"Marchant, Pablo",2016,4,https://ui.adsabs.harvard.edu/abs/2016A%26A...588A..50M/abstract,https://arxiv.org/pdf/1601.03718.pdf,MESA,range,15.688,,,
BH-BH,CHE,duBuisson_2020_MESA,du Buisson et al. (2020),"du Buisson, L.",2020,12,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5941D/abstract,https://arxiv.org/pdf/2002.11630.pdf,MESA,range,5.8,,,
BH-BH,CHE,duBuisson_2020_MESA,du Buisson et al. (2020),"du Buisson, L.",2020,12,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5941D/abstract,https://arxiv.org/pdf/2002.11630.pdf,MESA,range,6.96,,20% increase of the rate above (See footnote 4),20% increase of the rate above (See footnote 4)
BH-BH,CHE,Riley_2021_COMPAS,Riley et al. (2021),"Riley, Jeff",2020,9,https://ui.adsabs.harvard.edu/abs/2020arXiv201000002R/abstract,https://arxiv.org/abs/2010.00002,COMPAS,range,4.197538849,,f_WR = 0,f_WR = 0
BH-BH,CHE,Riley_2021_COMPAS,Riley et al. (2021),"Riley, Jeff",2020,9,https://ui.adsabs.harvard.edu/abs/2020arXiv201000002R/abstract,https://arxiv.org/abs/2010.00002,COMPAS,range,8.641991748,,f_WR = 0.2,f_WR = 0.2
BH-BH,CHE,Riley_2021_COMPAS,Riley et al. (2021),"Riley, Jeff",2020,9,https://ui.adsabs.harvard.edu/abs/2020arXiv201000002R/abstract,https://arxiv.org/abs/2010.00002,COMPAS,range,23.20992069,,f_WR =1,f_WR =1
BH-BH,CHE,Riley_2021_COMPAS,Riley et al. (2021),"Riley, Jeff",2020,9,https://ui.adsabs.harvard.edu/abs/2020arXiv201000002R/abstract,https://arxiv.org/abs/2010.00002,COMPAS,range,31.60613975,,f_WR = 0.6,f_WR = 0.6
NS-BH,CHE,Marchant_2017_MESA,Marchant et al. (2017),"Marchant, Pablo",2017,8,https://ui.adsabs.harvard.edu/abs/2017A%26A...604A..55M/abstract,https://arxiv.org/pdf/1705.04734.pdf,MESA,range,0.018,lower,,lower limit
NS-BH,CHE,Marchant_2017_MESA,Marchant et al. (2017),"Marchant, Pablo",2017,8,https://ui.adsabs.harvard.edu/abs/2017A%26A...604A..55M/abstract,https://arxiv.org/pdf/1705.04734.pdf,MESA,range,0.2,upper,upper limt,upper limt
